temperature_K,temperature_C,pressure_Pa,pressure_bar,pressure_mmHg,pressure_kPa,method
273.15,0.0,0.27152078249508976,2.7152078249508977e-06,0.002036573350074199,0.00027152078249508975,Lee-Kesler
283.15,10.0,0.7667968307149526,7.667968307149526e-06,0.005751449211382818,0.0007667968307149526,Lee-Kesler
293.15,20.0,2.001130983516044,2.001130983516044e-05,0.015009716728074942,0.002001130983516044,Lee-Kesler
303.15,30.0,4.865201642322888,4.865201642322888e-05,0.03649201330535796,0.004865201642322888,Lee-Kesler
313.15,40.0,11.097183443562347,0.00011097183443562347,0.08323572086955226,0.011097183443562347,Lee-Kesler
323.15,50.0,23.893694786444197,0.00023893694786444197,0.17921744917540183,0.023893694786444198,Lee-Kesler
333.15,60.0,48.826816609526794,0.00048826816609526795,0.36623124227229575,0.04882681660952679,Lee-Kesler
343.15,70.0,95.14937565474631,0.0009514937565474631,0.7136790081185017,0.09514937565474631,Lee-Kesler
353.15,80.0,177.56427485629322,0.0017756427485629321,1.33184158786857,0.17756427485629322,Lee-Kesler
363.15,90.0,318.51658904873375,0.0031851658904873373,2.3890708875108575,0.31851658904873376,Lee-Kesler
373.15,100.0,551.0396984122493,0.0055103969841224934,4.133137634278899,0.5510396984122493,Lee-Kesler
